year,quarter,agg_amount,agg_count,map_amount,top_amount,state_arunachal-pradesh,state_assam,state_bihar,state_chandigarh,state_chhattisgarh,state_dadra-&-nagar-haveli-&-daman-&-diu,state_delhi,state_goa,state_gujarat,state_haryana,state_himachal-pradesh,state_jammu-&-kashmir,state_jharkhand,state_kerala,state_ladakh,state_lakshadweep,state_madhya-pradesh,state_manipur,state_meghalaya,state_mizoram,state_nagaland,state_odisha,state_puducherry,state_punjab,state_rajasthan,state_sikkim,state_tamil-nadu,state_tripura,state_uttar-pradesh,state_uttarakhand,state_west-bengal,state_text,tokens,pos_tags,total_amount,log_total_amount
-0.36964037587330545,0.4683057265232947,-0.5628975200783526,-0.5577606465536914,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5628975200787832,-1.4166467500176914
-0.36964037587330545,1.3620361732858237,-0.5607417045470462,-0.5564784807860333,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5607417045474782,-1.1669620293074459
0.1485103811030836,-1.3191551670017634,-0.5595759112995017,-0.5562362840706551,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5595759112999343,-1.0770546710197102
0.1485103811030836,-0.42542472023923433,-0.558715558846418,-0.5550785164576837,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5587155588468511,-1.0215638253119972
0.1485103811030836,0.4683057265232947,-0.5556533794678368,-0.5537807560051227,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5556533794682719,-0.8695811245193419
0.1485103811030836,1.3620361732858237,-0.5510133841721828,-0.5515486439591714,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5510133841726208,-0.7125621849200677
0.6666611380794726,-1.3191551670017634,-0.5495495080578177,-0.5496487154701313,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5495495080582566,-0.6734735567971957
0.6666611380794726,-0.42542472023923433,-0.5453991274049677,-0.546337312290075,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5453991274054092,-0.579641208791462
0.6666611380794726,0.4683057265232947,-0.5407432896082168,-0.5401909223559991,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5407432896086611,-0.4951943529462304
0.6666611380794726,1.3620361732858237,-0.5357197970751209,-0.535362127588923,-0.6469783662231576,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false,"['false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false', 'false']","[('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'JJ'), ('false', 'NN')]",-0.5357197970755683,-0.420358225918007
